estado,unidade,equipamento,host
SC,3523-0 CAMBORIu,SC3523SW151.sc.caixa,SC3523SW151.sc.caixa
SC,3523-0 CAMBORIu,SC3523SW152.sc.caixa,SC3523SW152.sc.caixa
SC,3523-0 CAMBORIu,SC3523SW199.sc.caixa,SC3523SW199.sc.caixa
SC,3524-0 CAMPECHE,SC3524RA1.sc.caixa,SC3524RA1.sc.caixa
SC,3524-0 CAMPECHE,SC3524SW020.sc.caixa,SC3524SW020.sc.caixa
SC,3524-0 CAMPECHE,SC3524SW021.sc.caixa,SC3524SW021.sc.caixa
SC,3524-0 CAMPECHE,SC3524SW022.sc.caixa,SC3524SW022.sc.caixa
SC,3524-0 CAMPECHE,SC3524SW050.sc.caixa,SC3524SW050.sc.caixa
SC,3525-0 POETA ZININHO,SC3525RA1.sc.caixa,SC3525RA1.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW020.sc.caixa,SC3525SW020.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW021.sc.caixa,SC3525SW021.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW022.sc.caixa,SC3525SW022.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW023.sc.caixa,SC3525SW023.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW024.sc.caixa,SC3525SW024.sc.caixa
SC,3525-0 POETA ZININHO,SC3525SW050.sc.caixa,SC3525SW050.sc.caixa
SC,3533-0 SAO JOAO BATISTA,SC3533RA1.sc.caixa,SC3533RA1.sc.caixa
SC,3533-0 SAO JOAO BATISTA,SC3533SW020.sc.caixa,SC3533SW020.sc.caixa
SC,3533-0 SAO JOAO BATISTA,SC3533SW021.sc.caixa,SC3533SW021.sc.caixa
SC,3533-0 SAO JOAO BATISTA,SC3533SW022.sc.caixa,SC3533SW022.sc.caixa
SC,3533-0 SAO JOAO BATISTA,SC3533SW050.sc.caixa,SC3533SW050.sc.caixa
SC,3554-0 CIDADE DE CATANDUVAS,SC3554RA1.sc.caixa,SC3554RA1.sc.caixa
SC,3554-0 CIDADE DE CATANDUVAS,SC3554SW020.sc.caixa,SC3554SW020.sc.caixa
SC,3554-0 CIDADE DE CATANDUVAS,SC3554SW021.sc.caixa,SC3554SW021.sc.caixa
SC,3555-0 TAMARINDO,SC3555RA1.sc.caixa,SC3555RA1.sc.caixa
SC,3555-0 TAMARINDO,SC3555SW020.sc.caixa,SC3555SW020.sc.caixa
SC,3555-0 TAMARINDO,SC3555SW021.sc.caixa,SC3555SW021.sc.caixa
SC,3555-0 TAMARINDO,SC3555SW050.sc.caixa,SC3555SW050.sc.caixa
SC,3569-0 QUARTA AVENIDA,SC3569RA1.sc.caixa,SC3569RA1.sc.caixa
SC,3569-0 QUARTA AVENIDA,SC3569SW020.sc.caixa,SC3569SW020.sc.caixa
SC,3569-0 QUARTA AVENIDA,SC3569SW021.sc.caixa,SC3569SW021.sc.caixa
SC,3569-0 QUARTA AVENIDA,SC3569SW050.sc.caixa,SC3569SW050.sc.caixa
SC,3592-0 EFAPI,SC3592RA1.sc.caixa,SC3592RA1.sc.caixa
SC,3592-0 EFAPI,SC3592SW150.sc.caixa,SC3592SW150.sc.caixa
SC,3592-0 EFAPI,SC3592SW151.sc.caixa,SC3592SW151.sc.caixa
SC,3592-0 EFAPI,SC3592SW199.sc.caixa,SC3592SW199.sc.caixa
SC,3598-0 SCHROEDER,SC3598RA1.sc.caixa,SC3598RA1.sc.caixa
SC,3598-0 SCHROEDER,SC3598SW020.sc.caixa,SC3598SW020.sc.caixa
SC,3598-0 SCHROEDER,SC3598SW021.sc.caixa,SC3598SW021.sc.caixa
SC,3598-0 SCHROEDER,SC3598SW050.sc.caixa,SC3598SW050.sc.caixa
SC,3614-0 CORDEIROS,SC3614RA1.sc.caixa,SC3614RA1.sc.caixa
SC,3614-0 CORDEIROS,SC3614SW020.sc.caixa,SC3614SW020.sc.caixa
SC,3614-0 CORDEIROS,SC3614SW021.sc.caixa,SC3614SW021.sc.caixa
SC,3614-0 CORDEIROS,SC3614SW050.sc.caixa,SC3614SW050.sc.caixa
SC,3646-0 ITAIOPOLIS,SC3646RA1.sc.caixa,SC3646RA1.sc.caixa
SC,3646-0 ITAIOPOLIS,SC3646SW020.sc.caixa,SC3646SW020.sc.caixa
SC,3646-0 ITAIOPOLIS,SC3646SW021.sc.caixa,SC3646SW021.sc.caixa
SC,3646-0 ITAIOPOLIS,SC3646SW050.sc.caixa,SC3646SW050.sc.caixa
SC,3655-0 CONTESTADO,SC3655RA1.sc.caixa,SC3655RA1.sc.caixa
SC,3655-0 CONTESTADO,SC3655SW021.sc.caixa,SC3655SW021.sc.caixa
SC,3655-0 CONTESTADO,SC3655SW050.sc.caixa,SC3655SW050.sc.caixa
SC,3655-0 CONTESTADO,SC3655SW150.sc.caixa,SC3655SW150.sc.caixa
SC,3660-0 SANTA RITA DE BRUSQUE,SC3660RA1.sc.caixa,SC3660RA1.sc.caixa
SC,3660-0 SANTA RITA DE BRUSQUE,SC3660SW020.sc.caixa,SC3660SW020.sc.caixa
SC,3660-0 SANTA RITA DE BRUSQUE,SC3660SW021.sc.caixa,SC3660SW021.sc.caixa
SC,3660-0 SANTA RITA DE BRUSQUE,SC3660SW050.sc.caixa,SC3660SW050.sc.caixa
SC,3684-0 SANTO AMARO DA IMPERATRIZ,SC3684RA1.sc.caixa,SC3684RA1.sc.caixa
SC,3684-0 SANTO AMARO DA IMPERATRIZ,SC3684SW020.sc.caixa,SC3684SW020.sc.caixa
SC,3684-0 SANTO AMARO DA IMPERATRIZ,SC3684SW021.sc.caixa,SC3684SW021.sc.caixa
SC,3684-0 SANTO AMARO DA IMPERATRIZ,SC3684SW050.sc.caixa,SC3684SW050.sc.caixa
SC,3691-0 PONTE DO IMARUIM,SC3691RA1.sc.caixa,SC3691RA1.sc.caixa
SC,3691-0 PONTE DO IMARUIM,SC3691SW020.sc.caixa,SC3691SW020.sc.caixa
SC,3691-0 PONTE DO IMARUIM,SC3691SW021.sc.caixa,SC3691SW021.sc.caixa
SC,3691-0 PONTE DO IMARUIM,SC3691SW050.sc.caixa,SC3691SW050.sc.caixa
SC,3692-0 AREIAS,SC3692RA1.sc.caixa,SC3692RA1.sc.caixa
SC,3692-0 AREIAS,SC3692SW150.sc.caixa,SC3692SW150.sc.caixa
SC,3692-0 AREIAS,SC3692SW151.sc.caixa,SC3692SW151.sc.caixa
SC,3692-0 AREIAS,SC3692SW199.sc.caixa,SC3692SW199.sc.caixa
SC,3778-0 NEUDORF,SC3778RA1.sc.caixa,SC3778RA1.sc.caixa
SC,3778-0 NEUDORF,SC3778SW020.sc.caixa,SC3778SW020.sc.caixa
SC,3778-0 NEUDORF,SC3778SW021.sc.caixa,SC3778SW021.sc.caixa
SC,3778-0 NEUDORF,SC3778SW050.sc.caixa,SC3778SW050.sc.caixa
SC,3830-0 FaTIMA,SC3830RA1.sc.caixa,SC3830RA1.sc.caixa
SC,3830-0 FaTIMA,SC3830SW020.sc.caixa,SC3830SW020.sc.caixa
SC,3830-0 FaTIMA,SC3830SW021.sc.caixa,SC3830SW021.sc.caixa
SC,3830-0 FaTIMA,SC3830SW022.sc.caixa,SC3830SW022.sc.caixa
SC,3830-0 FaTIMA,SC3830SW050.sc.caixa,SC3830SW050.sc.caixa
SC,3831-0 CONDa,SC3831RA1.sc.caixa,SC3831RA1.sc.caixa
SC,3831-0 CONDa,SC3831SW020.sc.caixa,SC3831SW020.sc.caixa
SC,3831-0 CONDa,SC3831SW021.sc.caixa,SC3831SW021.sc.caixa
SC,3831-0 CONDa,SC3831SW050.sc.caixa,SC3831SW050.sc.caixa
SC,3833-0 HERVAL DO OESTE,SC3833RA1.sc.caixa,SC3833RA1.sc.caixa
SC,3833-0 HERVAL DO OESTE,SC3833SW020.sc.caixa,SC3833SW020.sc.caixa
SC,3833-0 HERVAL DO OESTE,SC3833SW021.sc.caixa,SC3833SW021.sc.caixa
SC,3833-0 HERVAL DO OESTE,SC3833SW050.sc.caixa,SC3833SW050.sc.caixa
SC,3850-0 SAO LUDGERO,SC3850RA1.sc.caixa,SC3850RA1.sc.caixa
SC,3850-0 SAO LUDGERO,SC3850SW020.sc.caixa,SC3850SW020.sc.caixa
SC,3850-0 SAO LUDGERO,SC3850SW021.sc.caixa,SC3850SW021.sc.caixa
SC,3850-0 SAO LUDGERO,SC3850SW050.sc.caixa,SC3850SW050.sc.caixa
SC,3869-0 ITAPIRANGA,SC3869RA1.sc.caixa,SC3869RA1.sc.caixa
SC,3869-0 ITAPIRANGA,SC3869SW020.sc.caixa,SC3869SW020.sc.caixa
SC,3869-0 ITAPIRANGA,SC3869SW021.sc.caixa,SC3869SW021.sc.caixa
SC,3869-0 ITAPIRANGA,SC3869SW050.sc.caixa,SC3869SW050.sc.caixa
SC,3875-0 NEREU RAMOS,SC3875RA1.sc.caixa,SC3875RA1.sc.caixa
SC,3875-0 NEREU RAMOS,SC3875SW020.sc.caixa,SC3875SW020.sc.caixa
SC,3875-0 NEREU RAMOS,SC3875SW021.sc.caixa,SC3875SW021.sc.caixa
SC,3875-0 NEREU RAMOS,SC3875SW050.sc.caixa,SC3875SW050.sc.caixa
SC,3885-0 VINTE E TReS DE SETEMBRO,SC3885RA1.sc.caixa,SC3885RA1.sc.caixa
SC,3885-0 VINTE E TReS DE SETEMBRO,SC3885SW020.sc.caixa,SC3885SW020.sc.caixa
SC,3885-0 VINTE E TReS DE SETEMBRO,SC3885SW021.sc.caixa,SC3885SW021.sc.caixa
SC,3885-0 VINTE E TReS DE SETEMBRO,SC3885SW050.sc.caixa,SC3885SW050.sc.caixa
SC,3886-0 IMIGRANTES DE CONCoRDIA,SC3886RA1.sc.caixa,SC3886RA1.sc.caixa
SC,3886-0 IMIGRANTES DE CONCoRDIA,SC3886SW020.sc.caixa,SC3886SW020.sc.caixa
SC,3886-0 IMIGRANTES DE CONCoRDIA,SC3886SW021.sc.caixa,SC3886SW021.sc.caixa
SC,3886-0 IMIGRANTES DE CONCoRDIA,SC3886SW050.sc.caixa,SC3886SW050.sc.caixa
SC,3919-0 PAB JUSTICA FEDERAL CHAPECo,SC3919RA1.sc.caixa,SC3919RA1.sc.caixa
SC,3919-0 PAB JUSTICA FEDERAL CHAPECo,SC3919SW020.sc.caixa,SC3919SW020.sc.caixa
SC,3954-0 PAB JUSTICA FEDERAL BLUMENAU,SC3954RA1.sc.caixa,SC3954RA1.sc.caixa
SC,3954-0 PAB JUSTICA FEDERAL BLUMENAU,SC3954SW150.sc.caixa,SC3954SW150.sc.caixa
SC,4029-0 PAB JUSTICA FEDERAL CRICIuMA,SC4029RA1.sc.caixa,SC4029RA1.sc.caixa
SC,4029-0 PAB JUSTICA FEDERAL CRICIuMA,SC4029SW150.sc.caixa,SC4029SW150.sc.caixa
SC,4123-0 IRIRIu,SC4123RA1.sc.caixa,SC4123RA1.sc.caixa
SC,4123-0 IRIRIu,SC4123SW150.sc.caixa,SC4123SW150.sc.caixa
SC,4123-0 IRIRIu,SC4123SW151.sc.caixa,SC4123SW151.sc.caixa
SC,4123-0 IRIRIu,SC4123SW152.sc.caixa,SC4123SW152.sc.caixa
SC,4123-0 IRIRIu,SC4123SW199.sc.caixa,SC4123SW199.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC4269SW150.sc.caixa,SC4269SW150.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC4269SW151.sc.caixa,SC4269SW151.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC4269SW152.sc.caixa,SC4269SW152.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC4269SW153.sc.caixa,SC4269SW153.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC4269SW154.sc.caixa,SC4269SW154.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC6995SW150.sc.caixa,SC6995SW150.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC7692SW150.sc.caixa,SC7692SW150.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC7692SW151.sc.caixa,SC7692SW151.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC7817SW150.sc.caixa,SC7817SW150.sc.caixa
SC,4269-0 AREA MEIO - VALE DO ITAJAi,SC7817SW151.sc.caixa,SC7817SW151.sc.caixa
SC,4332-0 BARRA DO RIO CERRO,SC4332RA1.sc.caixa,SC4332RA1.sc.caixa
SC,4332-0 BARRA DO RIO CERRO,SC4332SW020.sc.caixa,SC4332SW020.sc.caixa
SC,4332-0 BARRA DO RIO CERRO,SC4332SW021.sc.caixa,SC4332SW021.sc.caixa
SC,4332-0 BARRA DO RIO CERRO,SC4332SW050.sc.caixa,SC4332SW050.sc.caixa
SC,4438-0 CUNHA PORA,SC4438RA1.sc.caixa,SC4438RA1.sc.caixa
SC,4438-0 CUNHA PORA,SC4438SW020.sc.caixa,SC4438SW020.sc.caixa
SC,4438-0 CUNHA PORA,SC4438SW021.sc.caixa,SC4438SW021.sc.caixa
SC,4439-0 ANToNIO CARLOS,SC4439RA1.sc.caixa,SC4439RA1.sc.caixa
SC,4439-0 ANToNIO CARLOS,SC4439SW020.sc.caixa,SC4439SW020.sc.caixa
SC,4439-0 ANToNIO CARLOS,SC4439SW021.sc.caixa,SC4439SW021.sc.caixa
SC,4440-0 POUSO REDONDO,SC4440RA1.sc.caixa,SC4440RA1.sc.caixa
SC,4440-0 POUSO REDONDO,SC4440SW020.sc.caixa,SC4440SW020.sc.caixa
SC,4440-0 POUSO REDONDO,SC4440SW021.sc.caixa,SC4440SW021.sc.caixa
SC,4440-0 POUSO REDONDO,SC4440SW050.sc.caixa,SC4440SW050.sc.caixa
SC,4441-0 PRESIDENTE GETuLIO,SC4441RA1.sc.caixa,SC4441RA1.sc.caixa
SC,4441-0 PRESIDENTE GETuLIO,SC4441SW020.sc.caixa,SC4441SW020.sc.caixa
SC,4441-0 PRESIDENTE GETuLIO,SC4441SW021.sc.caixa,SC4441SW021.sc.caixa
SC,4441-0 PRESIDENTE GETuLIO,SC4441SW050.sc.caixa,SC4441SW050.sc.caixa
SC,4444-0 RIO DO PEIXE,SC4444RA1.sc.caixa,SC4444RA1.sc.caixa
SC,4444-0 RIO DO PEIXE,SC4444SW150.sc.caixa,SC4444SW150.sc.caixa
SC,4444-0 RIO DO PEIXE,SC4444SW151.sc.caixa,SC4444SW151.sc.caixa
SC,4444-0 RIO DO PEIXE,SC4444SW199.sc.caixa,SC4444SW199.sc.caixa
SC,4451-0 PAPANDUVA,SC4451RA1.sc.caixa,SC4451RA1.sc.caixa
SC,4451-0 PAPANDUVA,SC4451SW020.sc.caixa,SC4451SW020.sc.caixa
SC,4451-0 PAPANDUVA,SC4451SW021.sc.caixa,SC4451SW021.sc.caixa
SC,4451-0 PAPANDUVA,SC4451SW050.sc.caixa,SC4451SW050.sc.caixa
SC,4452-0 CORREIA PINTO,SC4452RA1.sc.caixa,SC4452RA1.sc.caixa
SC,4452-0 CORREIA PINTO,SC4452SW020.sc.caixa,SC4452SW020.sc.caixa
SC,4452-0 CORREIA PINTO,SC4452SW021.sc.caixa,SC4452SW021.sc.caixa
SC,4453-0 LAURO MULLER,SC4453RA1.sc.caixa,SC4453RA1.sc.caixa
SC,4453-0 LAURO MULLER,SC4453SW020.sc.caixa,SC4453SW020.sc.caixa
SC,4453-0 LAURO MULLER,SC4453SW021.sc.caixa,SC4453SW021.sc.caixa
SC,4510-0 PA AGRO CHAPECO,sc4510ra1.sc.caixa,sc4510ra1.sc.caixa
SC,4510-0 PA AGRO CHAPECO,sc4510sw150.sc.caixa,sc4510sw150.sc.caixa
SC,4624-0 MONDAI,SC4624RA1.sc.caixa,SC4624RA1.sc.caixa
SC,4624-0 MONDAI,SC4624SW020.sc.caixa,SC4624SW020.sc.caixa
SC,4624-0 MONDAI,SC4624SW021.sc.caixa,SC4624SW021.sc.caixa
SC,4624-0 MONDAI,SC4624SW050.sc.caixa,SC4624SW050.sc.caixa
SC,4625-0 CANASVIEIRAS,SC4625RA1.sc.caixa,SC4625RA1.sc.caixa
SC,4625-0 CANASVIEIRAS,SC4625SW020.sc.caixa,SC4625SW020.sc.caixa
SC,4625-0 CANASVIEIRAS,SC4625SW021.sc.caixa,SC4625SW021.sc.caixa
SC,4625-0 CANASVIEIRAS,SC4625SW050.sc.caixa,SC4625SW050.sc.caixa
SC,4626-0 QUILOMBO,SC4626RA1.sc.caixa,SC4626RA1.sc.caixa
SC,4626-0 QUILOMBO,SC4626SW020.sc.caixa,SC4626SW020.sc.caixa
SC,4626-0 QUILOMBO,SC4626SW021.sc.caixa,SC4626SW021.sc.caixa
SC,4721-0 GAROPABA,SC4721RA1.sc.caixa,SC4721RA1.sc.caixa
SC,4721-0 GAROPABA,SC4721SW020.sc.caixa,SC4721SW020.sc.caixa
SC,4721-0 GAROPABA,SC4721SW021.sc.caixa,SC4721SW021.sc.caixa
SC,4721-0 GAROPABA,SC4721SW050.sc.caixa,SC4721SW050.sc.caixa
SC,4728-0 ARAQUARI,SC4728RA1.sc.caixa,SC4728RA1.sc.caixa
SC,4728-0 ARAQUARI,SC4728SW020.sc.caixa,SC4728SW020.sc.caixa
SC,4728-0 ARAQUARI,SC4728SW021.sc.caixa,SC4728SW021.sc.caixa
SC,4728-0 ARAQUARI,SC4728SW050.sc.caixa,SC4728SW050.sc.caixa
SC,4729-0 PORTO BELO,SC4729RA1.sc.caixa,SC4729RA1.sc.caixa
SC,4729-0 PORTO BELO,SC4729SW020.sc.caixa,SC4729SW020.sc.caixa
SC,4729-0 PORTO BELO,SC4729SW021.sc.caixa,SC4729SW021.sc.caixa
SC,4729-0 PORTO BELO,SC4729SW050.sc.caixa,SC4729SW050.sc.caixa
SC,4733-0 LAGOA DA CONCEICAO,SC4733RA1.sc.caixa,SC4733RA1.sc.caixa
SC,4733-0 LAGOA DA CONCEICAO,SC4733SW020.sc.caixa,SC4733SW020.sc.caixa
SC,4733-0 LAGOA DA CONCEICAO,SC4733SW021.sc.caixa,SC4733SW021.sc.caixa
SC,4733-0 LAGOA DA CONCEICAO,SC4733SW050.sc.caixa,SC4733SW050.sc.caixa
SC,4873-0 GUABIRUBA,SC4873RA1.sc.caixa,SC4873RA1.sc.caixa
SC,4873-0 GUABIRUBA,SC4873SW020.sc.caixa,SC4873SW020.sc.caixa
SC,4873-0 GUABIRUBA,SC4873SW021.sc.caixa,SC4873SW021.sc.caixa
SC,4873-0 GUABIRUBA,SC4873SW050.sc.caixa,SC4873SW050.sc.caixa
SC,4876-0 ESCOLA AGRiCOLA,SC4876RA1.sc.caixa,SC4876RA1.sc.caixa
SC,4876-0 ESCOLA AGRiCOLA,SC4876SW020.sc.caixa,SC4876SW020.sc.caixa
SC,4876-0 ESCOLA AGRiCOLA,SC4876SW021.sc.caixa,SC4876SW021.sc.caixa
SC,4876-0 ESCOLA AGRiCOLA,SC4876SW050.sc.caixa,SC4876SW050.sc.caixa
SC,4877-0 SAO VICENTE DO ITAJAi,SC4877RA1.sc.caixa,SC4877RA1.sc.caixa
SC,4877-0 SAO VICENTE DO ITAJAi,SC4877SW020.sc.caixa,SC4877SW020.sc.caixa
SC,4877-0 SAO VICENTE DO ITAJAi,SC4877SW021.sc.caixa,SC4877SW021.sc.caixa
SC,4877-0 SAO VICENTE DO ITAJAi,SC4877SW050.sc.caixa,SC4877SW050.sc.caixa
SC,4878-0 NOVA VENEZA,SC4878RA1.sc.caixa,SC4878RA1.sc.caixa
SC,4878-0 NOVA VENEZA,SC4878SW020.sc.caixa,SC4878SW020.sc.caixa
SC,4878-0 NOVA VENEZA,SC4878SW021.sc.caixa,SC4878SW021.sc.caixa
SC,4878-0 NOVA VENEZA,SC4878SW050.sc.caixa,SC4878SW050.sc.caixa
SC,4918-0 ALBANO SCHMIDT,SC4918RA1.sc.caixa,SC4918RA1.sc.caixa
SC,4918-0 ALBANO SCHMIDT,SC4918SW020.sc.caixa,SC4918SW020.sc.caixa
SC,4918-0 ALBANO SCHMIDT,SC4918SW021.sc.caixa,SC4918SW021.sc.caixa
SC,4918-0 ALBANO SCHMIDT,SC4918SW050.sc.caixa,SC4918SW050.sc.caixa
SC,4924-0 COCAL DO SUL,SC4924RA1.sc.caixa,SC4924RA1.sc.caixa
SC,4924-0 COCAL DO SUL,SC4924SW020.sc.caixa,SC4924SW020.sc.caixa
SC,4924-0 COCAL DO SUL,SC4924SW021.sc.caixa,SC4924SW021.sc.caixa
SC,4924-0 COCAL DO SUL,SC4924SW050.sc.caixa,SC4924SW050.sc.caixa
SC,7179-0 RECMI,SC2625RA2.sc.caixa,SC2625RA2.sc.caixa
SC,7179-0 RECMI,SC7179SW002.sc.caixa,SC7179SW002.sc.caixa
SC,7179-0 RECMI,SC7179SW150.sc.caixa,SC7179SW150.sc.caixa
SC,7179-0 RECMI,SC7179SW151.sc.caixa,SC7179SW151.sc.caixa
SC,7179-0 RECMI,SC7179SW154.sc.caixa - teste,SC7179SW154.sc.caixa
SC,7179-0 RECMI,SC7179SW156.sc.caixa,SC7179SW156.sc.caixa
SC,7179-0 RECMI,SC7179SW157.sc.caixa,SC7179SW157.sc.caixa
SC,FLORIANoPOLIS,SC2625SW200.sc.caixa,SC2625SW200.sc.caixa
SC,FLORIANoPOLIS,SC2625SW201.sc.caixa,SC2625SW201.sc.caixa
SC,FLORIANoPOLIS,SC2625SW202.sc.caixa,SC2625SW202.sc.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428ra1.rs.caixa,rs0428ra1.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw001.rs.caixa,rs0428sw001.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw002.rs.caixa,rs0428sw002.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw003.rs.caixa,rs0428sw003.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw004.rs.caixa,rs0428sw004.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw005.rs.caixa,rs0428sw005.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw006.rs.caixa,rs0428sw006.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw007.rs.caixa,rs0428sw007.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw029.rs.caixa,rs0428sw029.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw030.rs.caixa,rs0428sw030.rs.caixa
RS,0428-0 SAA AG. PRACA DA ALFANDEGA,rs0428sw031.rs.caixa,rs0428sw031.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430ra1.rs.caixa,rs0430ra1.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430sw001.rs.caixa,rs0430sw001.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430sw002.rs.caixa,rs0430sw002.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430sw003.rs.caixa,rs0430sw003.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430sw004.rs.caixa,rs0430sw004.rs.caixa
RS,0429-0 SAA AG. RUA DA PRAIA,rs0430sw031.rs.caixa,rs0430sw031.rs.caixa
RS,0429-0 SAA AG. SHOPPING IGUATEMI,rs0429ra1.rs.caixa,rs0429ra1.rs.caixa
RS,0429-0 SAA AG. SHOPPING IGUATEMI,rs0429sw001.rs.caixa,rs0429sw001.rs.caixa
RS,0429-0 SAA AG. SHOPPING IGUATEMI,rs0429sw002.rs.caixa,rs0429sw002.rs.caixa
RS,0429-0 SAA AG. SHOPPING IGUATEMI,rs0429sw003.rs.caixa,rs0429sw003.rs.caixa
RS,0429-0 SAA AG. SHOPPING IGUATEMI,rs0429sw031.rs.caixa,rs0429sw031.rs.caixa
RS,0430-2 PAE SNC GALERIA CHAVES,rs0430ra3.rs.caixa,rs0430ra3.rs.caixa
RS,0430-2 PAE SNC GALERIA CHAVES,rs0430sw301.rs.caixa,rs0430sw301.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431ra1.rs.caixa,rs0431ra1.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431sw001.rs.caixa,rs0431sw001.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431sw002.rs.caixa,rs0431sw002.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431sw003.rs.caixa,rs0431sw003.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431sw030.rs.caixa,rs0431sw030.rs.caixa
RS,0431-0 SAA AG. ASSIS BRASIL,rs0431sw031.rs.caixa,rs0431sw031.rs.caixa
RS,0432-0 SAA AG. AZENHA,rs0432ra1.rs.caixa,rs0432ra1.rs.caixa
RS,0432-0 SAA AG. AZENHA,rs0432sw001.rs.caixa,rs0432sw001.rs.caixa
RS,0432-0 SAA AG. AZENHA,rs0432sw002.rs.caixa,rs0432sw002.rs.caixa
RS,0432-0 SAA AG. AZENHA,rs0432sw030.rs.caixa,rs0432sw030.rs.caixa
RS,0432-0 SAA AG. AZENHA,rs0432sw031.rs.caixa,rs0432sw031.rs.caixa
RS,0433-0 SAA AG. VILA FERNANDES,rs0433ra1.rs.caixa,rs0433ra1.rs.caixa
RS,0433-0 SAA AG. VILA FERNANDES,rs0433sw001.rs.caixa,rs0433sw001.rs.caixa
RS,0433-0 SAA AG. VILA FERNANDES,rs0433sw002.rs.caixa,rs0433sw002.rs.caixa
RS,0433-0 SAA AG. VILA FERNANDES,rs0433sw003.rs.caixa,rs0433sw003.rs.caixa
RS,0433-0 SAA AG. VILA FERNANDES,rs0433sw031.rs.caixa,rs0433sw031.rs.caixa
RS,0434-0 SAA AG. CORONEL BORDINI,rs0434ra1.rs.caixa,rs0434ra1.rs.caixa
RS,0434-0 SAA AG. CORONEL BORDINI,rs0434sw001.rs.caixa,rs0434sw001.rs.caixa
RS,0434-0 SAA AG. CORONEL BORDINI,rs0434sw002.rs.caixa,rs0434sw002.rs.caixa
RS,0434-0 SAA AG. CORONEL BORDINI,rs0434sw003.rs.caixa,rs0434sw003.rs.caixa
RS,0434-0 SAA AG. CORONEL BORDINI,rs0434sw031.rs.caixa,rs0434sw031.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435ra1.rs.caixa,rs0435ra1.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw001.rs.caixa,rs0435sw001.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw002.rs.caixa,rs0435sw002.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw003.rs.caixa,rs0435sw003.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw004.rs.caixa,rs0435sw004.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw030.rs.caixa,rs0435sw030.rs.caixa
RS,0435-0 SAA AG. BOM FIM,rs0435sw031.rs.caixa,rs0435sw031.rs.caixa
RS,0436-0 SAA AG. CAVALHADA,rs0436ra1.rs.caixa,rs0436ra1.rs.caixa
RS,0436-0 SAA AG. CAVALHADA,rs0436sw001.rs.caixa,rs0436sw001.rs.caixa
RS,0436-0 SAA AG. CAVALHADA,rs0436sw002.rs.caixa,rs0436sw002.rs.caixa
RS,0436-0 SAA AG. CAVALHADA,rs0436sw031.rs.caixa,rs0436sw031.rs.caixa
RS,0437-0 SAA AG. BOURBON WALLIG,rs0437ra1.rs.caixa,rs0437ra1.rs.caixa
