estado,unidade,equipamento,host
SC,0413-0 CANOINHAS,SC0413SW199.sc.caixa,SC0413SW199.sc.caixa
SC,0414-0 CHAPECO,SC0414RA1.sc.caixa,SC0414RA1.sc.caixa
SC,0414-0 CHAPECO,SC0414SW150.sc.caixa,SC0414SW150.sc.caixa
SC,0414-0 CHAPECO,SC0414SW151.sc.caixa,SC0414SW151.sc.caixa
SC,0414-0 CHAPECO,SC0414SW152.sc.caixa,SC0414SW152.sc.caixa
SC,0414-0 CHAPECO,SC0414SW153.sc.caixa,SC0414SW153.sc.caixa
SC,0414-0 CHAPECO,SC0414SW154.sc.caixa,SC0414SW154.sc.caixa
SC,0414-0 CHAPECO,SC0414SW155.sc.caixa,SC0414SW155.sc.caixa
SC,0414-0 CHAPECO,SC0414SW156.sc.caixa,SC0414SW156.sc.caixa
SC,0414-0 CHAPECO,SC0414SW157.sc.caixa,SC0414SW157.sc.caixa
SC,0414-0 CHAPECO,SC0414SW158.sc.caixa,SC0414SW158.sc.caixa
SC,0414-0 CHAPECO,SC0414SW159.sc.caixa,SC0414SW159.sc.caixa
SC,0414-0 CHAPECO,SC0414SW199.sc.caixa,SC0414SW199.sc.caixa
SC,0415-0 CRICIUMA,SC0415RA1.sc.caixa,SC0415RA1.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW150.sc.caixa,SC0415SW150.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW151.sc.caixa,SC0415SW151.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW152.sc.caixa,SC0415SW152.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW153.sc.caixa,SC0415SW153.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW154.sc.caixa,SC0415SW154.sc.caixa
SC,0415-0 CRICIUMA,SC0415SW199.sc.caixa,SC0415SW199.sc.caixa
SC,0415-1 PAT JT CRICIUMA,SC0415RA2.sc.caixa,SC0415RA2.sc.caixa
SC,0415-1 PAT JT CRICIUMA,SC0415SW100.sc.caixa,SC0415SW100.sc.caixa
SC,0415-3 PAT PREFEITURA MUNICIPAL DE CRICIuMA,SC0415RA4.sc.caixa,SC0415RA4.sc.caixa
SC,0415-3 PAT PREFEITURA MUNICIPAL DE CRICIuMA,SC0415SW102.sc.caixa,SC0415SW102.sc.caixa
SC,0416-0 ITAJAi,SC0416RA1.sc.caixa,SC0416RA1.sc.caixa
SC,0416-0 ITAJAi,SC0416SW150.sc.caixa,SC0416SW150.sc.caixa
SC,0416-0 ITAJAi,SC0416SW151.sc.caixa,SC0416SW151.sc.caixa
SC,0416-0 ITAJAi,SC0416SW152.sc.caixa,SC0416SW152.sc.caixa
SC,0416-0 ITAJAi,SC0416SW153.sc.caixa,SC0416SW153.sc.caixa
SC,0416-0 ITAJAi,SC0416SW154.sc.caixa,SC0416SW154.sc.caixa
SC,0416-0 ITAJAi,SC0416SW199.sc.caixa,SC0416SW199.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417RA1.sc.caixa,SC0417RA1.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW150.sc.caixa,SC0417SW150.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW151.sc.caixa,SC0417SW151.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW152.sc.caixa,SC0417SW152.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW153.sc.caixa,SC0417SW153.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW154.sc.caixa,SC0417SW154.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW155.sc.caixa,SC0417SW155.sc.caixa
SC,0417-0 JARAGUa DO SUL,SC0417SW199.sc.caixa,SC0417SW199.sc.caixa
SC,0417-1 PAT JUSTICA DO TRABALHO JARAGUa DO SUL,SC0417RA2.sc.caixa,SC0417RA2.sc.caixa
SC,0417-1 PAT JUSTICA DO TRABALHO JARAGUa DO SUL,SC0417SW100.sc.caixa,SC0417SW100.sc.caixa
SC,0418-0 JOACABA,SC0418RA1.sc.caixa,SC0418RA1.sc.caixa
SC,0418-0 JOACABA,SC0418SW150.sc.caixa,SC0418SW150.sc.caixa
SC,0418-0 JOACABA,SC0418SW151.sc.caixa,SC0418SW151.sc.caixa
SC,0418-0 JOACABA,SC0418SW152.sc.caixa,SC0418SW152.sc.caixa
SC,0418-0 JOACABA,SC0418SW153.sc.caixa,SC0418SW153.sc.caixa
SC,0418-0 JOACABA,SC0418SW199.sc.caixa,SC0418SW199.sc.caixa
SC,0418-0 JOACABA,SC2817SW150.sc.caixa,SC2817SW150.sc.caixa
SC,0419-0 JOINVILLE,SC0419RA1.sc.caixa,SC0419RA1.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW150.sc.caixa,SC0419SW150.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW151.sc.caixa,SC0419SW151.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW152.sc.caixa,SC0419SW152.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW153.sc.caixa,SC0419SW153.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW154.sc.caixa,SC0419SW154.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW155.sc.caixa,SC0419SW155.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW156.sc.caixa,SC0419SW156.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW157.sc.caixa,SC0419SW157.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW158.sc.caixa,SC0419SW158.sc.caixa
SC,0419-0 JOINVILLE,SC0419SW199.sc.caixa,SC0419SW199.sc.caixa
SC,0420-0 LAGES,SC0420RA1.sc.caixa,SC0420RA1.sc.caixa
